\fixlen = T
|set|TIME       |PDCSAP_FLUX_ERR|
|int|double     |double         |
 0   906.8367399 3.4557243e+01   
 0   906.8374211 3.4552223e+01   
 0   906.8381022 3.4555462e+01   
 0   906.8387834 3.4564358e+01   
 0   906.8394644 3.4533642e+01   
 0   906.8401456 3.4552746e+01   
 0   906.8408267 3.4554962e+01   
 0   906.8415079 3.4490509e+01   
 0   906.8421891 3.4526680e+01   
 0   906.8428702 3.4491886e+01   
 0   906.8435514 3.4491501e+01   
 0   906.8442325 3.4481274e+01   
 0   906.8449136 3.4461651e+01   
 0   906.8455948 3.4466805e+01   
 0   906.8462759 3.4479774e+01   
 0   906.8469570 3.4467720e+01   
 0   906.8476382 3.4432663e+01   
 0   906.8483194 3.4465515e+01   
 0   906.8490005 3.4431236e+01   
 0   906.8496816 3.4417080e+01   
 0   906.8503628 3.4439999e+01   
 0   906.8510439 3.4429882e+01   
 0   906.8517250 3.4438858e+01   
 0   906.8524062 3.4438354e+01   
 0   906.8530873 3.4461658e+01   
 0   906.8537685 3.4432175e+01   
 0   906.8544496 3.4446392e+01   
 0   906.8551308 3.4470299e+01   
 0   906.8558119 3.4419647e+01   
 0   906.8564929 3.4467079e+01   
 0   906.8571742 3.4431759e+01   
 0   906.8578553 3.4462490e+01   
 0   906.8585364 3.4466999e+01   
 0   906.8592176 3.4453075e+01   
 0   906.8598988 3.4435635e+01   
 0   906.8605800 3.4452030e+01   
 0   906.8612611 3.4445576e+01   
 0   906.8619421 3.4475883e+01   
 0   906.8626233 3.4435032e+01   
 0   906.8633045 3.4478745e+01   
 0   906.8639856 3.4459797e+01   
 0   906.8646668 3.4469208e+01   
 0   906.8653480 3.4461330e+01   
 0   906.8660291 3.4464718e+01   
 0   906.8667103 3.4480450e+01   
 0   906.8673914 3.4492771e+01   
 0   906.8680724 3.4475368e+01   
 0   906.8687537 3.4482346e+01   
 0   906.8694348 3.4483170e+01   
 0   906.8701159 3.4491066e+01   
 0   906.8707971 3.4465569e+01   
 0   906.8714783 3.4472340e+01   
 0   906.8721594 3.4481598e+01   
 0   906.8728405 3.4487579e+01   
 0   906.8735216 3.4499039e+01   
 0   906.8742028 3.4507824e+01   
 0   906.8748839 3.4499523e+01   
 0   906.8755651 3.4508888e+01   
 0   906.8762462 3.4495953e+01   
 0   906.8769274 3.4485760e+01   
 0   906.8776086 3.4497311e+01   
 0   906.8782897 3.4471722e+01   
 0   906.8789707 3.4511551e+01   
 0   906.8796519 3.4510418e+01   
 0   906.8803331 3.4504326e+01   
 0   906.8810142 3.4468403e+01   
 0   906.8816953 3.4519306e+01   
 0   906.8823765 3.4498821e+01   
 0   906.8830577 3.4504330e+01   
 0   906.8837388 3.4487656e+01   
 0   906.8844199 3.4481709e+01   
 0   906.8851010 3.4493397e+01   
 0   906.8857822 3.4495411e+01   
 0   906.8864634 3.4539490e+01   
 0   906.8871445 3.4507019e+01   
 0   906.8878256 3.4523598e+01   
 0   906.8885068 3.4494610e+01   
 0   906.8891880 3.4474758e+01   
 0   906.8898692 3.4491978e+01   
 0   906.8905502 3.4448685e+01   
 0   906.8912313 3.4507809e+01   
 0   906.8919125 3.4481476e+01   
 0   906.8925937 3.4491943e+01   
 0   906.8932748 3.4484600e+01   
 0   906.8939559 3.4479874e+01   
 0   906.8946372 3.4478939e+01   
 0   906.8953183 3.4461956e+01   
 0   906.8959993 3.4432407e+01   
 0   906.8966805 3.4454014e+01   
 0   906.8973617 3.4441067e+01   
 0   906.8980428 3.4446453e+01   
 0   906.8987240 3.4416126e+01   
 0   906.8994051 3.4425468e+01   
 0   906.9000862 3.4440948e+01   
 0   906.9007675 3.4427776e+01   
 0   906.9014485 3.4416264e+01   
 0   906.9021296 3.4417816e+01   
 0   906.9028108 3.4431396e+01   
 0   906.9034920 3.4426430e+01   
 0   906.9041731 3.4397804e+01   
 0   906.9048543 3.4409122e+01   
 0   906.9055354 3.4406261e+01   
 0   906.9062166 3.4399940e+01   
 0   906.9068977 3.4389927e+01   
 0   906.9075788 3.4409702e+01   
 0   906.9082599 3.4382515e+01   
 0   906.9089411 3.4379833e+01   
 0   906.9096223 3.4390762e+01   
 0   906.9103034 3.4389809e+01   
 0   906.9109845 3.4380974e+01   
 0   906.9116657 3.4388115e+01   
 0   906.9123469 3.4379700e+01   
 0   906.9130279 3.4402702e+01   
 0   906.9137091 3.4358280e+01   
 0   906.9143902 3.4400917e+01   
 0   906.9150714 3.4385300e+01   
 0   906.9157526 3.4365028e+01   
 0   906.9164337 3.4390877e+01   
 0   906.9171148 3.4410995e+01   
 0   906.9177961 3.4362762e+01   
 0   906.9184771 3.4374153e+01   
 0   906.9191582 3.4385769e+01   
 0   906.9198394 3.4374683e+01   
 0   906.9205205 3.4396328e+01   
 0   906.9212017 3.4390518e+01   
 0   906.9218829 3.4375214e+01   
 0   906.9225640 3.4399956e+01   
 0   906.9232452 3.4390961e+01   
 0   906.9239262 3.4414413e+01   
 0   906.9246074 3.4430252e+01   
 0   906.9252885 3.4399822e+01   
 0   906.9259697 3.4376190e+01   
 0   906.9266509 3.4406242e+01   
 0   906.9273320 3.4414906e+01   
 0   906.9280132 3.4416229e+01   
 0   906.9286943 3.4407738e+01   
 0   906.9293754 3.4399731e+01   
 0   906.9300566 3.4408772e+01   
 0   906.9307377 3.4420982e+01   
 0   906.9314188 3.4392113e+01   
 0   906.9321000 3.4415745e+01   
 0   906.9327812 3.4390205e+01   
 0   906.9334623 3.4411087e+01   
 0   906.9341434 3.4408676e+01   
 0   906.9348246 3.4399212e+01   
 0   906.9355057 3.4374851e+01   
 0   906.9361868 3.4389626e+01   
 0   906.9368680 3.4387531e+01   
 0   906.9375491 3.4418526e+01   
 0   906.9382303 3.4401176e+01   
 0   906.9389115 3.4395508e+01   
 0   906.9395926 3.4417885e+01   
 0   906.9402737 3.4403519e+01   
 0   906.9409549 3.4403217e+01   
 0   906.9416360 3.4371323e+01   
 0   906.9423171 3.4406307e+01   
 0   906.9429982 3.4416862e+01   
 0   906.9436794 3.4408768e+01   
 0   906.9443606 3.4374489e+01   
 0   906.9450418 3.4409019e+01   
 0   906.9457229 3.4400723e+01   
 0   906.9464039 3.4424229e+01   
 0   906.9470851 3.4385277e+01   
 0   906.9477663 3.4412609e+01   
 0   906.9484474 3.4385365e+01   
 0   906.9491286 3.4421844e+01   
 0   906.9498098 3.4416840e+01   
 0   906.9504909 3.4385735e+01   
 0   906.9511721 3.4399921e+01   
 0   906.9518531 3.4409496e+01   
 0   906.9525342 3.4426182e+01   
 0   906.9532155 3.4401779e+01   
 0   906.9538966 3.4418049e+01   
 0   906.9545777 3.4376389e+01   
 0   906.9552589 3.4411011e+01   
 0   906.9559401 3.4418785e+01   
 0   906.9566212 3.4415409e+01   
 0   906.9573022 3.4453712e+01   
 0   906.9579834 3.4438473e+01   
 0   906.9586646 3.4389645e+01   
 0   906.9593458 3.4403347e+01   
 0   906.9600269 3.4407749e+01   
 0   906.9607080 3.4426563e+01   
 0   906.9613892 3.4413147e+01   
 0   906.9620704 3.4436802e+01   
 0   906.9627515 3.4413280e+01   
 0   906.9634325 3.4405125e+01   
 0   906.9641137 3.4404991e+01   
 0   906.9647949 3.4430229e+01   
 0   906.9654760 3.4409172e+01   
 0   906.9661572 3.4409340e+01   
 0   906.9668383 3.4440060e+01   
 0   906.9675195 3.4405869e+01   
 0   906.9682006 3.4439342e+01   
 0   906.9688817 3.4397160e+01   
 0   906.9695628 3.4425583e+01   
 0   906.9702440 3.4424946e+01   
 0   906.9709252 3.4423893e+01   
 0   906.9716063 3.4390591e+01   
 0   906.9722874 3.4390404e+01   
 0   906.9729686 3.4403378e+01   
 0   906.9736498 3.4395435e+01   
 0   906.9743308 3.4390327e+01   
 0   906.9750120 3.4375237e+01   
 0   906.9756931 3.4402390e+01   
 0   906.9763743 3.4394726e+01   
 0   906.9770555 3.4367702e+01   
 0   906.9777366 3.4374355e+01   
 0   906.9784178 3.4369213e+01   
 0   906.9790990 3.4354832e+01   
 0   906.9797800 3.4360893e+01   
 0   906.9804611 3.4350765e+01   
 0   906.9811423 3.4361050e+01   
 0   906.9818235 3.4333218e+01   
 0   906.9825046 3.4336037e+01   
 0   906.9831858 3.4339058e+01   
 0   906.9838669 3.4356613e+01   
 0   906.9845480 3.4318375e+01   
 0   906.9852293 3.4315170e+01   
 0   906.9859103 3.4357510e+01   
 0   906.9865914 3.4378414e+01   
 0   906.9872726 3.4373981e+01   
 0   906.9879538 3.4366432e+01   
 0   906.9886349 3.4309929e+01   
 0   906.9893161 3.4326893e+01   
 0   906.9899972 3.4359276e+01   
 0   906.9906784 3.4308868e+01   
 0   906.9913595 3.4342144e+01   
 0   906.9920406 3.4346157e+01   
 0   906.9927217 3.4367878e+01   
 0   906.9934030 3.4353210e+01   
 0   906.9940841 3.4361904e+01   
 0   906.9947652 3.4377327e+01   
 0   906.9954463 3.4346928e+01   
 0   906.9961275 3.4357986e+01   
 0   906.9968086 3.4330795e+01   
 0   906.9974897 3.4387173e+01   
 0   906.9981709 3.4366997e+01   
 0   906.9988520 3.4394253e+01   
 0   906.9995332 3.4375336e+01   
 0   907.0002144 3.4356056e+01   
 0   907.0008955 3.4382710e+01   
 0   907.0015766 3.4384892e+01   
 0   907.0022578 3.4410397e+01   
 0   907.0029389 3.4414513e+01   
 0   907.0036200 3.4417877e+01   
 0   907.0043012 3.4396404e+01   
 0   907.0049823 3.4411491e+01   
 0   907.0056635 3.4408249e+01   
 0   907.0063447 3.4370934e+01   
 0   907.0070258 3.4400326e+01   
 0   907.0077070 3.4418934e+01   
 0   907.0083881 3.4437878e+01   
 0   907.0090692 3.4412075e+01   
 0   907.0097503 3.4415924e+01   
 0   907.0104315 3.4390636e+01   
 0   907.0111127 3.4396393e+01   
 0   907.0117938 3.4413990e+01   
 0   907.0124750 3.4414307e+01   
 0   907.0131561 3.4402134e+01   
 0   907.0138372 3.4388134e+01   
 0   907.0145184 3.4405647e+01   
 0   907.0151995 3.4414764e+01   
 0   907.0158806 3.4378540e+01   
 0   907.0165618 3.4387814e+01   
 0   907.0172430 3.4381748e+01   
 0   907.0179241 3.4353451e+01   
 0   907.0186053 3.4382492e+01   
 0   907.0192863 3.4359715e+01   
 0   907.0199675 3.4389977e+01   
 0   907.0206486 3.4341255e+01   
 0   907.0213298 3.4355625e+01   
 0   907.0220109 3.4350502e+01   
 0   907.0226921 3.4374668e+01   
 0   907.0233733 3.4316051e+01   
 0   907.0240544 3.4366001e+01   
 0   907.0247354 3.4324772e+01   
 0   907.0254166 3.4345753e+01   
 0   907.0260978 3.4349072e+01   
 0   907.0267789 3.4309891e+01   
 0   907.0274600 3.4338978e+01   
 0   907.0281412 3.4320709e+01   
 0   907.0288224 3.4319443e+01   
 0   907.0295036 3.4343445e+01   
 0   907.0301847 3.4332516e+01   
 0   907.0308657 3.4343597e+01   
 0   907.0315469 3.4324032e+01   
 0   907.0322281 3.4345707e+01   
 0   907.0329092 3.4303326e+01   
 0   907.0335903 3.4331467e+01   
 0   907.0342716 3.4353340e+01   
 0   907.0349527 3.4355701e+01   
 0   907.0356339 3.4341011e+01   
 0   907.0363149 3.4351147e+01   
 0   907.0369960 3.4327229e+01   
 0   907.0376772 3.4387459e+01   
 0   907.0383584 3.4346809e+01   
 0   907.0390395 3.4356606e+01   
 0   907.0397207 3.4377228e+01   
 0   907.0404019 3.4384979e+01   
 0   907.0410830 3.4379036e+01   
 0   907.0417640 3.4383030e+01   
 0   907.0424452 3.4391026e+01   
 0   907.0431264 3.4355625e+01   
 0   907.0438076 3.4420975e+01   
 0   907.0444887 3.4410275e+01   
 0   907.0451698 3.4401089e+01   
 0   907.0458510 3.4408474e+01   
 0   907.0465322 3.4411842e+01   
 0   907.0472132 3.4447060e+01   
