\fixlen = T
|set|TIME       |PDCSAP_FLUX_ERR|
|int|double     |double         |
 0   120.5292427 1.3034639e+02   
 0   120.5299239 1.2752882e+02   
 0   120.5306051 1.2521210e+02   
 0   120.5312862 1.2331339e+02   
 0   120.5319674 1.2184987e+02   
 0   120.5326486 1.2076684e+02   
 0   120.5333297 1.1999098e+02   
 0   120.5340107 1.1955807e+02   
 0   120.5346919 1.1933929e+02   
 0   120.5353730 1.1939404e+02   
 0   120.5360543 1.1961272e+02   
 0   120.5367354 1.2000938e+02   
 0   120.5374165 1.2052993e+02   
 0   120.5380977 1.2117748e+02   
 0   120.5387789 1.2184366e+02   
 0   120.5394601 1.2274844e+02   
 0   120.5401411 1.2339008e+02   
 0   120.5408222 1.2417654e+02   
 0   120.5415033 1.2503677e+02   
 0   120.5421846 1.2575182e+02   
 0   120.5428657 1.2655051e+02   
 0   120.5435468 1.2726971e+02   
 0   120.5442280 1.2793940e+02   
 0   120.5449091 1.2857721e+02   
 0   120.5455902 1.2916997e+02   
 0   120.5462714 1.2970345e+02   
 0   120.5469525 1.3015454e+02   
 0   120.5476336 1.3057187e+02   
 0   120.5483148 1.3091193e+02   
 0   120.5489960 1.3120160e+02   
 0   120.5496771 1.3140584e+02   
 0   120.5503582 1.3158388e+02   
 0   120.5510393 1.3165833e+02   
 0   120.5517205 1.3170839e+02   
 0   120.5524016 1.3167555e+02   
 0   120.5530828 1.3160057e+02   
 0   120.5537639 1.3148140e+02   
 0   120.5544451 1.3132628e+02   
 0   120.5551263 1.3109593e+02   
 0   120.5558074 1.3083249e+02   
 0   120.5564884 1.3054504e+02   
 0   120.5571695 1.3022310e+02   
 0   120.5578508 1.2986505e+02   
 0   120.5585319 1.2948639e+02   
 0   120.5592130 1.2906937e+02   
 0   120.5598942 1.2864977e+02   
 0   120.5605754 1.2821390e+02   
 0   120.5612566 1.2776015e+02   
 0   120.5619376 1.2729893e+02   
 0   120.5626187 1.2684778e+02   
 0   120.5632998 1.2639371e+02   
 0   120.5639811 1.2592395e+02   
 0   120.5646622 1.2545850e+02   
 0   120.5653434 1.2502345e+02   
 0   120.5660245 1.2459196e+02   
 0   120.5667057 1.2416190e+02   
 0   120.5673867 1.2375855e+02   
 0   120.5680679 1.2337955e+02   
 0   120.5687490 1.2302984e+02   
 0   120.5694302 1.2268288e+02   
 0   120.5701114 1.2235680e+02   
 0   120.5707925 1.2206481e+02   
 0   120.5714737 1.2179518e+02   
 0   120.5721548 1.2155116e+02   
 0   120.5728358 1.2134485e+02   
 0   120.5735170 1.2114589e+02   
 0   120.5741982 1.2099855e+02   
 0   120.5748793 1.2085034e+02   
 0   120.5755604 1.2073597e+02   
 0   120.5762417 1.2068909e+02   
 0   120.5769228 1.2061322e+02   
 0   120.5776039 1.2060027e+02   
 0   120.5782850 1.2059655e+02   
 0   120.5789661 1.2063123e+02   
 0   120.5796473 1.2069291e+02   
 0   120.5803285 1.2078345e+02   
 0   120.5810096 1.2091000e+02   
 0   120.5816907 1.2108435e+02   
 0   120.5823720 1.2122752e+02   
 0   120.5830531 1.2144229e+02   
 0   120.5837341 1.2162839e+02   
 0   120.5844152 1.2188928e+02   
 0   120.5850964 1.2214520e+02   
 0   120.5857776 1.2242126e+02   
 0   120.5864587 1.2271443e+02   
 0   120.5871399 1.2300621e+02   
 0   120.5878210 1.2333614e+02   
 0   120.5885022 1.2368064e+02   
 0   120.5891833 1.2401546e+02   
 0   120.5898644 1.2438205e+02   
 0   120.5905455 1.2472001e+02   
 0   120.5912267 1.2510135e+02   
 0   120.5919079 1.2545417e+02   
 0   120.5925890 1.2581340e+02   
 0   120.5932702 1.2616440e+02   
 0   120.5939513 1.2650657e+02   
 0   120.5946323 1.2686131e+02   
 0   120.5953136 1.2716633e+02   
 0   120.5959947 1.2747431e+02   
 0   120.5966758 1.2780386e+02   
 0   120.5973570 1.2801756e+02   
 0   120.5980382 1.2826869e+02   
 0   120.5987194 1.2844247e+02   
 0   120.5994005 1.2862349e+02   
 0   120.6000815 1.2874260e+02   
 0   120.6007626 1.2882547e+02   
 0   120.6014439 1.2887967e+02   
 0   120.6021250 1.2886714e+02   
 0   120.6028062 1.2883087e+02   
 0   120.6034873 1.2876100e+02   
 0   120.6041685 1.2867078e+02   
 0   120.6048496 1.2854816e+02   
 0   120.6055308 1.2840150e+02   
 0   120.6062118 1.2822324e+02   
 0   120.6068929 1.2804253e+02   
 0   120.6075742 1.2784195e+02   
 0   120.6082553 1.2761691e+02   
 0   120.6089364 1.2739144e+02   
 0   120.6096176 1.2717315e+02   
 0   120.6102988 1.2693732e+02   
 0   120.6109799 1.2670990e+02   
 0   120.6116609 1.2647664e+02   
 0   120.6123421 1.2624799e+02   
 0   120.6130232 1.2601892e+02   
 0   120.6137044 1.2580891e+02   
 0   120.6143856 1.2559260e+02   
 0   120.6150667 1.2540594e+02   
 0   120.6157478 1.2521676e+02   
 0   120.6164290 1.2505022e+02   
 0   120.6171101 1.2489032e+02   
 0   120.6177912 1.2473961e+02   
 0   120.6184724 1.2462749e+02   
 0   120.6191535 1.2451311e+02   
 0   120.6198347 1.2441234e+02   
 0   120.6205159 1.2434542e+02   
 0   120.6211970 1.2428735e+02   
 0   120.6218781 1.2425998e+02   
 0   120.6225591 1.2424528e+02   
 0   120.6232404 1.2425811e+02   
 0   120.6239215 1.2428059e+02   
 0   120.6246027 1.2430695e+02   
 0   120.6252838 1.2436269e+02   
 0   120.6259650 1.2441920e+02   
 0   120.6266462 1.2447098e+02   
 0   120.6273273 1.2457209e+02   
 0   120.6280083 1.2466723e+02   
 0   120.6286895 1.2476037e+02   
 0   120.6293707 1.2484132e+02   
 0   120.6300518 1.2497582e+02   
 0   120.6307330 1.2509126e+02   
 0   120.6314141 1.2521207e+02   
 0   120.6320953 1.2534412e+02   
 0   120.6327765 1.2546255e+02   
 0   120.6334575 1.2559524e+02   
 0   120.6341386 1.2572063e+02   
 0   120.6348198 1.2584320e+02   
 0   120.6355010 1.2595975e+02   
 0   120.6361821 1.2607426e+02   
 0   120.6368633 1.2619219e+02   
 0   120.6375444 1.2627223e+02   
 0   120.6382255 1.2636672e+02   
 0   120.6389066 1.2644966e+02   
 0   120.6395878 1.2650723e+02   
 0   120.6402689 1.2654227e+02   
 0   120.6409500 1.2656789e+02   
 0   120.6416313 1.2655452e+02   
 0   120.6423124 1.2655309e+02   
 0   120.6429935 1.2650006e+02   
 0   120.6436747 1.2643029e+02   
 0   120.6443557 1.2636626e+02   
 0   120.6450369 1.2625791e+02   
 0   120.6457181 1.2615938e+02   
 0   120.6463992 1.2604033e+02   
 0   120.6470803 1.2590215e+02   
 0   120.6477615 1.2574416e+02   
 0   120.6484427 1.2561791e+02   
 0   120.6491238 1.2546607e+02   
 0   120.6498048 1.2529628e+02   
 0   120.6504860 1.2513255e+02   
 0   120.6511672 1.2497894e+02   
 0   120.6518483 1.2479514e+02   
 0   120.6525295 1.2467197e+02   
 0   120.6532106 1.2448751e+02   
 0   120.6538919 1.2432735e+02   
 0   120.6545730 1.2418347e+02   
 0   120.6552540 1.2404519e+02   
 0   120.6559351 1.2390802e+02   
 0   120.6566163 1.2379054e+02   
