\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   906.8660959  3.9826297e+05 
 0   906.8865300  3.9822731e+05 
 0   906.9069641  3.9819647e+05 
 0   906.9273981  3.9819816e+05 
 0   906.9478321  3.9819544e+05 
 0   906.9682663  3.9824281e+05 
 0   906.9887002  3.9821641e+05 
 0   907.0091343  3.9821047e+05 
 0   907.0295684  3.9821191e+05 
 0   907.0500023  3.9823159e+05 
 0   907.0704364  3.9822731e+05 
 0   907.0908705  3.9825612e+05 
 0   907.1113045  3.9819338e+05 
 0   907.1317385  3.9825394e+05 
 0   907.1521727  3.9822309e+05 
 0   907.1726067  3.9820800e+05 
 0   907.1930408  3.9824053e+05 
 0   907.2134748  3.9819522e+05 
 0   907.2339089  3.9826219e+05 
 0   907.2543430  3.9823925e+05 
 0   907.2747770  3.9826372e+05 
 0   907.2952110  3.9823356e+05 
 0   907.3156451  3.9826597e+05 
 0   907.3360791  3.9823372e+05 
 0   907.3565131  3.9826772e+05 
 0   907.3769473  3.9824153e+05 
 0   907.3973812  3.9823238e+05 
 0   907.4178154  3.9821781e+05 
 0   907.4382493  3.9826641e+05 
 0   907.4586834  3.9828322e+05 
 0   907.4791175  3.9824819e+05 
 0   907.4995514  3.9826991e+05 
 0   907.5199855  3.9828384e+05 
 0   907.5404196  3.9826228e+05 
 0   907.5608536  3.9827809e+05 
 0   907.5812876  3.9827566e+05 
 0   907.6017218  3.9829272e+05 
 0   907.6221557  3.9828406e+05 
 0   907.6425898  3.9826200e+05 
 0   907.6630239  3.9826591e+05 
 0   907.6834579  3.9827597e+05 
 0   907.7038920  3.9835775e+05 
 0   907.7243260  3.9825191e+05 
 0   907.7447601  3.9828322e+05 
 0   907.7651941  3.9826638e+05 
 0   907.7856281  3.9827509e+05 
 0   907.8060622  3.9826644e+05 
 0   907.8264963  3.9823216e+05 
 0   907.8469303  3.9831375e+05 
 0   907.8673643  3.9827716e+05 
 0   907.8877984  3.9828475e+05 
 0   907.9082324  3.9827700e+05 
 0   907.9286665  3.9829019e+05 
 0   907.9491006  3.9830184e+05 
 0   907.9695345  3.9826288e+05 
 0   907.9899686  3.9827306e+05 
 0   908.0104027  3.9826397e+05 
 0   908.0308366  3.9828016e+05 
 0   908.0512708  3.9830184e+05 
 0   908.0717048  3.9832662e+05 
 0   908.0921388  3.9832309e+05 
 0   908.1125729  3.9832866e+05 
 0   908.1330068  3.9830841e+05 
 0   908.1534410  3.9831738e+05 
 0   908.1738750  3.9833216e+05 
 0   908.1943090  3.9831194e+05 
 0   908.2147431  3.9831853e+05 
 0   908.2556111  3.9831969e+05 
 0   908.2760452  3.9831900e+05 
 0   908.2964792  3.9831231e+05 
 0   908.3169133  3.9829059e+05 
 0   908.3373474  3.9830906e+05 
 0   908.3577813  3.9828788e+05 
 0   908.3782155  3.9814178e+05 
 0   908.3986495  3.9430922e+05 
 0   908.4190834  3.9259116e+05 
 0   908.4395176  3.9462300e+05 
 0   908.4599516  3.9821609e+05 
 0   908.4803855  3.9837494e+05 
 0   908.5008197  3.9833262e+05 
 0   908.5212537  3.9835297e+05 
 0   908.5416877  3.9835706e+05 
