\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   970.0782576  3.9726881e+05 
 0   970.0789387  3.9747619e+05 
 0   970.0796199  3.9732538e+05 
 0   970.0803009  3.9734078e+05 
 0   970.0809820  3.9732778e+05 
 0   970.0816632  3.9724944e+05 
 0   970.0823443  3.9724122e+05 
 0   970.0830254  3.9728203e+05 
 0   970.0837066  3.9723266e+05 
 0   970.0843877  3.9739128e+05 
 0   970.0850688  3.9735697e+05 
 0   970.0857498  3.9745059e+05 
 0   970.0864310  3.9738772e+05 
 0   970.0871121  3.9739975e+05 
 0   970.0877932  3.9740822e+05 
 0   970.0884743  3.9724278e+05 
 0   970.0891554  3.9719044e+05 
 0   970.0898366  3.9712784e+05 
 0   970.0905177  3.9736512e+05 
 0   970.0911987  3.9743816e+05 
 0   970.0918798  3.9733216e+05 
 0   970.0925610  3.9721403e+05 
 0   970.0932421  3.9722784e+05 
 0   970.0939232  3.9750684e+05 
 0   970.0946044  3.9755084e+05 
 0   970.0952855  3.9715669e+05 
 0   970.0959667  3.9714625e+05 
 0   970.0966478  3.9737016e+05 
 0   970.0973288  3.9726084e+05 
 0   970.0980099  3.9737488e+05 
 0   970.0986911  3.9736603e+05 
 0   970.0993721  3.9750047e+05 
 0   970.1000533  3.9727141e+05 
 0   970.1007344  3.9728566e+05 
 0   970.1014155  3.9744328e+05 
 0   970.1020967  3.9751319e+05 
 0   970.1027777  3.9732984e+05 
 0   970.1034588  3.9728828e+05 
 0   970.1041399  3.9735019e+05 
 0   970.1048211  3.9706594e+05 
 0   970.1055022  3.9742244e+05 
 0   970.1061833  3.9717912e+05 
 0   970.1068645  3.9743431e+05 
 0   970.1075456  3.9743184e+05 
 0   970.1082266  3.9730141e+05 
 0   970.1089078  3.9736084e+05 
 0   970.1095889  3.9714622e+05 
 0   970.1102700  3.9715372e+05 
 0   970.1109511  3.9728916e+05 
 0   970.1116322  3.9721169e+05 
 0   970.1123133  3.9715416e+05 
 0   970.1129944  3.9723441e+05 
 0   970.1136755  3.9720347e+05 
 0   970.1143566  3.9742631e+05 
 0   970.1150377  3.9724672e+05 
 0   970.1157189  3.9730375e+05 
 0   970.1164000  3.9729769e+05 
 0   970.1170811  3.9732353e+05 
 0   970.1177623  3.9715756e+05 
 0   970.1184434  3.9752375e+05 
 0   970.1191246  3.9715681e+05 
 0   970.1198056  3.9738434e+05 
 0   970.1204867  3.9736447e+05 
 0   970.1211678  3.9740988e+05 
 0   970.1218490  3.9737138e+05 
 0   970.1225300  3.9747862e+05 
 0   970.1232112  3.9742534e+05 
 0   970.1238923  3.9724131e+05 
 0   970.1245734  3.9737772e+05 
 0   970.1252544  3.9737572e+05 
 0   970.1259356  3.9728594e+05 
 0   970.1266167  3.9739184e+05 
 0   970.1272979  3.9745450e+05 
 0   970.1279790  3.9715806e+05 
 0   970.1286601  3.9745956e+05 
 0   970.1293413  3.9733128e+05 
 0   970.1300224  3.9740444e+05 
 0   970.1307034  3.9733456e+05 
 0   970.1313845  3.9723206e+05 
 0   970.1320657  3.9758722e+05 
 0   970.1327468  3.9711462e+05 
 0   970.1334279  3.9740762e+05 
 0   970.1341090  3.9730372e+05 
 0   970.1347901  3.9747525e+05 
 0   970.1354712  3.9735759e+05 
 0   970.1361523  3.9753784e+05 
 0   970.1368334  3.9735616e+05 
 0   970.1375145  3.9732603e+05 
 0   970.1381957  3.9720684e+05 
 0   970.1388768  3.9728981e+05 
 0   970.1395579  3.9745650e+05 
 0   970.1402390  3.9745734e+05 
 0   970.1409202  3.9720747e+05 
 0   970.1416013  3.9737256e+05 
 0   970.1422823  3.9728947e+05 
 0   970.1429635  3.9743934e+05 
 0   970.1436446  3.9742353e+05 
 0   970.1443257  3.9740616e+05 
 0   970.1450069  3.9741600e+05 
 0   970.1456879  3.9737875e+05 
 0   970.1463690  3.9733944e+05 
 0   970.1470502  3.9731403e+05 
 0   970.1477312  3.9721997e+05 
